feature,reward,seed,train_avg_coins,train_final100_avg_coins,eval_avg_coins,eval_median_coins,completion_rate,timeout_rate,completed_avg_steps
F0,sparse,123,13.73,8.26,3.25,2.0,0.0,1.0,
F0,sparse,456,13.346666666666666,8.1,3.95,4.0,0.0,1.0,
F0,sparse,2026,13.906666666666666,8.36,3.43,2.0,0.0,1.0,
F0,basic,123,15.053333333333333,9.18,3.89,3.0,0.0,1.0,
F0,basic,456,14.973333333333333,9.63,3.31,2.0,0.0,1.0,
F0,basic,2026,15.293333333333333,8.4,3.53,3.0,0.0,1.0,
F0,shaped,123,39.346666666666664,48.56,50,50.0,1.0,0.0,129.14
F0,shaped,456,40.085,49.95,5.44,4.0,0.0,1.0,
F0,shaped,2026,42.236666666666665,33.77,3.09,3.0,0.0,1.0,
F1,sparse,123,47.76833333333333,50,48.69,50.0,0.7,0.3,126.84285714285714
F1,sparse,456,47.735,49.99,48.73,50.0,0.74,0.26,126.16216216216216
F1,sparse,2026,47.72666666666667,49.93,48.98,50.0,0.74,0.26,125.8108108108108
F1,basic,123,47.75833333333333,49.91,48.95,50.0,0.77,0.23,127.8961038961039
F1,basic,456,47.62,49.71,49.27,50.0,0.74,0.26,125.5
F1,basic,2026,47.69833333333333,49.95,49.38,50.0,0.85,0.15,126.74117647058823
F1,shaped,123,47.895,50,48.31,50.0,0.65,0.35,127.15384615384616
F1,shaped,456,47.901666666666664,50,49.32,50.0,0.81,0.19,127.64197530864197
F1,shaped,2026,47.84,49.99,48.03,50.0,0.57,0.43,125.36842105263158
