feature,reward,seed,train_avg_coins,train_final100_avg_coins,eval_avg_coins,eval_median_coins,completion_rate,timeout_rate,completed_avg_steps
F0,sparse,123,12.306666666666667,6.51,2.22,1.0,0.0,1.0,
F0,sparse,456,10.905,5.94,3.4,3.0,0.0,1.0,
F0,sparse,2026,12.051666666666666,6.32,3.14,3.0,0.0,1.0,
F0,basic,123,13.428333333333333,6.27,4.83,4.0,0.0,1.0,
F0,basic,456,13.323333333333334,5.97,2.97,1.5,0.0,1.0,
F0,basic,2026,12.795,5.65,3.69,3.0,0.0,1.0,
F0,shaped,123,31.226666666666667,24.39,4.35,3.0,0.0,1.0,
F0,shaped,456,31.016666666666666,27.31,3.33,2.0,0.0,1.0,
F0,shaped,2026,31.631666666666668,27.18,3.93,3.0,0.0,1.0,
F1,sparse,123,47.79666666666667,50,48.72,50.0,0.7,0.3,125.75714285714285
F1,sparse,456,47.82833333333333,49.99,48.13,50.0,0.58,0.42,124.87931034482759
F1,sparse,2026,47.79666666666667,50,46.74,49.0,0.46,0.54,123.47826086956522
F1,basic,123,47.815,50,47.61,50.0,0.53,0.47,125.75471698113208
F1,basic,456,47.776666666666664,49.99,48.76,50.0,0.69,0.31,125.66666666666667
F1,basic,2026,47.84,50,48.66,50.0,0.72,0.28,125.94444444444444
F1,shaped,123,47.92666666666667,50,46.81,50.0,0.51,0.49,126.72549019607843
F1,shaped,456,47.858333333333334,50,41.68,45.0,0.26,0.74,122.34615384615384
F1,shaped,2026,47.83,50,45.81,48.5,0.35,0.65,124.11428571428571
