feature,reward,seed,train_avg_coins,train_final100_avg_coins,train_self_kill_rate,train_final100_self_kill_rate,eval_avg_coins,eval_median_coins,eval_self_kill_rate,eval_avg_steps,completion_rate,timeout_rate,completed_avg_steps,eval_bombs_per_round,eval_crates_per_round,eval_crates_per_bomb,eval_coins_per_100_steps,eval_wait_rate
F2,basic,123,0.22,0.3,0.7583333333333333,0.43,0.12,0.0,0.53,190.73,0.0,0.47,,25.22,5.4,0.2141157811260904,0.06291616421118859,0.5320085985424422
F2,basic,456,0.215,0.07,0.7766666666666666,0.3,0.1,0.0,0.01,396.05,0.0,0.99,,1.63,1.66,1.01840490797546,0.02524933720489837,0.9687918192147457
F2,basic,2026,0.4483333333333333,0.9,0.7683333333333333,0.61,1.68,1.0,0.33,271.88,0.0,0.67,,33.32,26.31,0.7896158463385354,0.6179196704428425,0.4232749742533471
F2,shaped,123,0.7733333333333333,1.86,0.715,0.57,0.23,0.0,0.8,112.33,0.0,0.2,,15.77,11.17,0.7083069118579581,0.20475385026261908,0.5287990741565032
F2,shaped,456,0.37166666666666665,0.65,0.835,0.66,0.72,0.0,0.21,329.37,0.0,0.79,,15.36,15.02,0.9778645833333334,0.21859914382002005,0.3292649603789052
F2,shaped,2026,0.9183333333333333,1.6,0.765,0.64,0.76,0.0,0.05,383.04,0.0,0.95,,3.36,11.45,3.4077380952380953,0.1984126984126984,0.04586988304093567
F3,shaped,123,1.0933333333333333,2.81,0.7216666666666667,0.47,1.4,1.0,0.23,335.02,0.0,0.77,,46.66,23.13,0.4957136733819117,0.41788549937317176,0.5420273416512447
F3,shaped,456,1.1466666666666667,2.08,0.71,0.53,0.92,0.0,0.58,188.37,0.0,0.42,,25.37,16.85,0.6641702798581001,0.4884004884004884,0.47571269310399744
F3,shaped,2026,1.1483333333333334,1.82,0.7366666666666667,0.47,0.8,0.0,0.47,244.93,0.0,0.53,,33.15,17.49,0.5276018099547511,0.3266239333687176,0.519821989956314
F4,shaped,123,2.0366666666666666,3.45,0.76,0.48,3.32,3.0,0.25,302.31,0.0,0.75,,29.42,48.06,1.6335825968728757,1.0982104462306903,0.34335615758658333
F4,shaped,456,2.315,4.25,0.745,0.45,2.54,2.0,0.09,373.52,0.0,0.91,,14.75,37.4,2.535593220338983,0.6800171342899978,0.14028699935746414
F4,shaped,2026,2.3183333333333334,4.18,0.7633333333333333,0.4,2.64,2.0,0.0,400,0.0,1.0,,14.82,36.69,2.4757085020242915,0.66,0.307325
F5,shaped,123,2.408333333333333,4.23,0.7533333333333333,0.43,6.85,7.0,0.02,396.29,0.0,0.98,,45.45,97.07,2.1357535753575356,1.7285321355572938,0.4136869464281208
F5,shaped,456,2.276666666666667,4.9,0.7733333333333333,0.36,5.74,6.0,0.09,382.04,0.0,0.91,,37.47,79.88,2.1318388043768346,1.502460475342896,0.3442047953093917
F5,shaped,2026,2.466666666666667,5.08,0.7416666666666667,0.36,4.26,5.0,0.43,284.07,0.0,0.57,,31.58,64.15,2.031348955034832,1.4996303727954379,0.38395465906290704
F6,shaped,123,2.4266666666666667,4.73,0.7533333333333333,0.41,3.48,3.5,0.0,400,0.0,1.0,,41.43,48.68,1.1749939657253199,0.8699999999999999,0.566525
F6,shaped,456,2.575,4.65,0.7433333333333333,0.38,3.93,4.0,0.22,343.09,0.0,0.78,,27.43,56.04,2.043018592781626,1.1454720335771955,0.2781194438776997
F6,shaped,2026,2.4433333333333334,5.22,0.7483333333333333,0.32,5.13,6.0,0.37,300.77,0.0,0.63,,32.53,72.86,2.2397786658469108,1.705622236260265,0.37550287595172394
