feature,reward,seed,train_avg_coins,train_final100_avg_coins,train_self_kill_rate,train_final100_self_kill_rate,eval_avg_coins,eval_median_coins,eval_self_kill_rate,eval_avg_steps,completion_rate,timeout_rate,completed_avg_steps
F2,basic,123,1.3466666666666667,2.97,0.8533333333333334,0.62,5.23,5.5,0.56,298.47,0.01,0.43,385
F2,basic,456,0.8,1.38,0.8416666666666667,0.63,0.94,0.0,0.5,218.19,0.0,0.5,
F2,basic,2026,1.275,3.33,0.8683333333333333,0.79,0.83,0.0,0.49,225.38,0.0,0.51,
F2,shaped,123,1.7383333333333333,5.06,0.8033333333333333,0.5,3.23,3.0,0.11,370.74,0.0,0.89,
F2,shaped,456,1.1983333333333333,3.39,0.8616666666666667,0.71,0.86,0.0,0.42,249.51,0.0,0.58,
F2,shaped,2026,1.6133333333333333,5.27,0.845,0.55,2.71,2.0,0.31,304.7,0.0,0.69,
F3,shaped,123,1.5783333333333334,4.8,0.82,0.47,0.93,1.0,0.72,159.44,0.0,0.28,
F3,shaped,456,1.2716666666666667,3.23,0.8183333333333334,0.56,2.19,1.5,0.26,324.34,0.0,0.74,
F3,shaped,2026,2.243333333333333,6.02,0.795,0.44,6.08,8.0,0.0,399.89,0.01,0.99,389
F4,shaped,123,2.0633333333333335,5.71,0.8183333333333334,0.47,4.87,5.0,0.46,302.56,0.03,0.51,391
F4,shaped,456,2.7683333333333335,5.71,0.765,0.37,8.02,9.0,0.13,373.21,0.08,0.79,388.75
F4,shaped,2026,2.598333333333333,5.62,0.7933333333333333,0.46,3.52,3.0,0.01,396.26,0.0,0.99,
F5,shaped,123,1.385,3.3,0.9466666666666667,0.82,4.08,4.5,0.46,255.82,0.0,0.54,
F5,shaped,456,1.77,3.89,0.8933333333333333,0.7,2.89,2.0,0.86,166.75,0.0,0.14,
F5,shaped,2026,2.9616666666666664,6.52,0.7533333333333333,0.32,1.23,1.0,0.21,337.4,0.0,0.79,
