mode,seed,rounds,agent,role,total_score,avg_score,reconstructed_total_score,score_reconstruction_matches,coins,coins_per_round,kills,kills_per_round,suicides,self_kill_rate,crates,bombs,invalid,invalid_per_round,moves,steps,avg_think_time_seconds,first_place_rate,unique_first_rate,mean_rank,survival_rate,avg_score_diff_to_best_opponent
benchmark_sarsa,4004,100,sarsa_lambda_agent,candidate_sarsa,470.0,4.7,470,1,310,3.1,32,0.32,20,0.2,2957,2863,340,3.4,24522,29079,0.0013638316791738678,0.46,0.43,1.965,0.68,-0.4
benchmark_sarsa,5005,100,sarsa_lambda_agent,candidate_sarsa,451.0,4.51,451,1,301,3.01,30,0.3,22,0.22,3119,2804,298,2.98,23658,27991,0.0013634766725212604,0.45,0.35,2.02,0.65,-0.63
benchmark_sarsa,6006,100,sarsa_lambda_agent,candidate_sarsa,521.0,5.21,521,1,316,3.16,41,0.41,7,0.07,3111,3105,397,3.97,26296,31073,0.0013487403241559805,0.47,0.43,1.93,0.79,-0.19
benchmark_linear,4004,100,linear_q_agent,candidate_linear_q,422.0,4.22,422,1,242,2.42,36,0.36,39,0.39,2236,1881,142,1.42,17377,19881,0.0014788343191542595,0.41,0.36,2.29,0.35,-1.54
benchmark_linear,5005,100,linear_q_agent,candidate_linear_q,438.0,4.38,438,1,233,2.33,41,0.41,36,0.36,2209,1856,128,1.28,17306,19856,0.001473737942125411,0.4,0.34,2.31,0.36,-1.39
benchmark_linear,6006,100,linear_q_agent,candidate_linear_q,486.0,4.86,486,1,256,2.56,46,0.46,41,0.41,2218,2182,157,1.57,20112,22954,0.0015184389046076295,0.46,0.4,2.07,0.43,-0.52
duel_sarsa_first,4004,100,linear_q_agent,candidate_linear_q,368.0,3.68,368,1,203,2.03,33,0.33,46,0.46,2201,1784,123,1.23,15866,18328,0.0014403017261360265,0.31,0.24,2.565,0.31,-2.67
duel_sarsa_first,4004,100,sarsa_lambda_agent,candidate_sarsa,441.0,4.41,441,1,286,2.86,31,0.31,27,0.27,3350,2421,199,1.99,20186,24023,0.0013409626948884578,0.37,0.3,2.22,0.54,-1.68
duel_sarsa_first,5005,100,linear_q_agent,candidate_linear_q,404.0,4.04,404,1,214,2.14,38,0.38,42,0.42,2104,1810,133,1.33,15886,18497,0.0014285521294069516,0.34,0.3,2.33,0.3,-2.49
duel_sarsa_first,5005,100,sarsa_lambda_agent,candidate_sarsa,522.0,5.22,522,1,297,2.97,45,0.45,27,0.27,3312,2533,208,2.08,21595,25652,0.0013470814229173183,0.43,0.39,1.985,0.55,-0.47
duel_sarsa_first,6006,100,linear_q_agent,candidate_linear_q,402.0,4.02,402,1,197,1.97,41,0.41,41,0.41,2200,1769,167,1.67,15215,17738,0.0013883676506349584,0.25,0.22,2.595,0.3,-3.01
duel_sarsa_first,6006,100,sarsa_lambda_agent,candidate_sarsa,565.0,5.65,565,1,310,3.1,51,0.51,30,0.3,3439,2282,244,2.44,18919,22940,0.0013422576364685165,0.5,0.45,1.87,0.52,-0.65
duel_linear_first,4004,100,linear_q_agent,candidate_linear_q,371.0,3.71,371,1,206,2.06,33,0.33,36,0.36,2015,1556,119,1.19,13629,15867,0.0014168806094682126,0.25,0.2,2.6,0.2,-4.22
duel_linear_first,4004,100,sarsa_lambda_agent,candidate_sarsa,577.0,5.77,577,1,302,3.02,55,0.55,16,0.16,3445,2597,228,2.28,21311,25473,0.0012993770629765404,0.46,0.42,2.03,0.61,-0.6
duel_linear_first,5005,100,linear_q_agent,candidate_linear_q,427.0,4.27,427,1,222,2.22,41,0.41,46,0.46,2085,1691,144,1.44,14925,17306,0.0014297886968251392,0.3,0.27,2.445,0.27,-2.37
duel_linear_first,5005,100,sarsa_lambda_agent,candidate_sarsa,488.0,4.88,488,1,298,2.98,38,0.38,26,0.26,3309,2303,177,1.77,19381,23070,0.0013296899415219973,0.41,0.36,2.07,0.53,-1.46
duel_linear_first,6006,100,linear_q_agent,candidate_linear_q,350.0,3.5,350,1,205,2.05,29,0.29,49,0.49,2049,1507,113,1.13,13402,15539,0.0014069545252902052,0.22,0.17,2.56,0.17,-3.96
duel_linear_first,6006,100,sarsa_lambda_agent,candidate_sarsa,519.0,5.19,519,1,284,2.84,47,0.47,34,0.34,3350,2328,210,2.1,19090,22870,0.0013140655470874354,0.49,0.45,2.105,0.49,-1.01
